Cell#,ROI Name,ROI#,RMS,Reflectance,RMS_t^2,Diffusion
6,nuc,13,None,None,0.010288199,0.004073173
6,nuc,14,None,None,0.008239874,0.004534068
6,nuc,15,None,None,0.012675692,0.003636719
6,nuc,16,None,None,0.006189432,0.004669216
6,nuc,17,None,None,0.006742244,0.004712523
6,nuc,18,None,None,0.006698258,0.004432399
6,nuc,19,None,None,0.007390183,0.003585056
6,nuc,2,None,None,0.009225755,0.004051538
6,nuc,20,None,None,0.006510308,0.003739018
6,nuc,21,None,None,0.005004817,0.004461255
6,nuc,3,None,None,0.009005373,0.003839681
6,nuc,4,None,None,0.007639701,0.004272837
6,nuc,5,None,None,0.010168637,0.00352349
6,nuc,6,None,None,0.01125498,0.002820412
6,nuc,7,None,None,0.006878503,0.004261725
6,nuc,8,None,None,0.007755757,0.004267556
6,nuc,9,None,None,0.007135106,0.004282245
7,nuc,0,None,None,0.008593891,0.003629205
7,nuc,1,None,None,0.007580723,0.004040495
7,nuc,10,None,None,0.007514184,0.004130099
7,nuc,11,None,None,0.006326174,0.005056491
7,nuc,12,None,None,0.007210525,0.004593642
7,nuc,13,None,None,0.009737553,0.004064216
7,nuc,14,None,None,0.008121108,0.004457941
7,nuc,15,None,None,0.011750765,0.003785247
7,nuc,16,None,None,0.00621357,0.004556522
7,nuc,17,None,None,0.00634286,0.004889656
7,nuc,18,None,None,0.00619285,0.004670896
7,nuc,19,None,None,0.007456,0.003549677
7,nuc,2,None,None,0.010385813,0.003835442
7,nuc,20,None,None,0.006110129,0.003960636
7,nuc,21,None,None,0.005730055,0.003961226
7,nuc,3,None,None,0.009345403,0.003986761
7,nuc,4,None,None,0.007509149,0.004225743
7,nuc,5,None,None,0.010750747,0.003360824
7,nuc,6,None,None,0.010699636,0.002968316
7,nuc,7,None,None,0.005568757,0.005058703
7,nuc,8,None,None,0.006558989,0.004640049
7,nuc,9,None,None,0.007476289,0.004471632
8,nuc,0,None,None,0.007953449,0.003775456
8,nuc,1,None,None,0.007506181,0.004032959
8,nuc,10,None,None,0.006821543,0.00437354
8,nuc,11,None,None,0.006849175,0.004720319
8,nuc,12,None,None,0.007908586,0.004377064
8,nuc,13,None,None,0.008819474,0.004507286
8,nuc,14,None,None,0.009084593,0.00420675
8,nuc,15,None,None,0.010222563,0.0039816
8,nuc,16,None,None,0.005792307,0.004745118
8,nuc,17,None,None,0.00596333,0.005103352
8,nuc,18,None,None,0.006985641,0.004535989
8,nuc,19,None,None,0.006975927,0.003654969
8,nuc,2,None,None,0.011109125,0.003659363
8,nuc,20,None,None,0.005716268,0.004011503
8,nuc,21,None,None,0.004655256,0.004540827
8,nuc,3,None,None,0.009252336,0.00405151
8,nuc,4,None,None,0.007981515,0.004071021
8,nuc,5,None,None,0.010623541,0.003378003
8,nuc,6,None,None,0.01087409,0.00293425
8,nuc,7,None,None,0.006850637,0.004531862
8,nuc,8,None,None,0.007403866,0.004415481
8,nuc,9,None,None,0.006977024,0.004490449
9,nuc,0,None,None,0.009994628,0.003192635
9,nuc,1,None,None,0.007962938,0.003930157
9,nuc,10,None,None,0.007092822,0.004336428
9,nuc,11,None,None,0.008001769,0.004632173
9,nuc,12,None,None,0.007169204,0.004586913
9,nuc,13,None,None,0.013475974,0.004029668
9,nuc,14,None,None,0.007198053,0.004641198
